16470002,Amphiphysin/AMPH
16490002,APPBP2
16520002,BACE-2
16590002,MSP R/Ron
16810002,CD44
16820002,PIP
17000002,ErbB2/Her2
17170002,TRAF-4
17190002,TSP50
17250002,YB1
17370002,LAMC2
18710002,Fas/TNFRSF6/CD95
18720002,Fas Ligand/TNFSF6
18730002,Fas Ligand/TNFSF6
18750002,CLEC3B/Tetranectin
18820002,VCAM-1/CD106
18830002,VCAM-1/CD106
18840002,VCAM-1/CD106
18860002,Angiopoietin-2
18880002,Ki-67/MKI67
18890002,Ki-67/MKI67
18920002,VE-Cadherin
18930002,VE-Cadherin
18940002,VE-Cadherin
18950002,VEGF
19060002,EGF R/ErbB1
19070002,EGF R/ErbB1
19080002,Osteopontin/OPN
19110002,Tyrosinase
19140002,E-Cadherin
19150002,E-Cadherin
19170002,Siglec-3/CD33
19180002,Siglec-3/CD33
19190002,Siglec-2/CD22
19220002,Caspase-3
19240002,Bcl-2
19280002,Bcl-xL
19290002,Bcl-xL
19300002,EpCAM/CD326
19310002,EpCAM/CD326
19380002,Somatostatin R2/SSTR2
19390002,Somatostatin R2/SSTR2
19400002,GLP-1R
19450002,CCR2
19470002,CCR2
19490002,CXCR4
19510002,5-HT2B
19540002,GPR172B
19550002,beta-2 Adrenergic R/ADRB2
19560002,beta-2 Adrenergic R/ADRB2
19600002,SUR1
19640002,CTLA-4
19650002,Glucagon R/GCGR
19660002,Glucagon R/GCGR
19670002,IL-4 R alpha
19680002,IL-4 R alpha
19690002,IL-4 R alpha
19700002,Insulin R/CD220
19750002,NSF
19800002,MMP-11
19930002,FGF R4
20320002,CD4
20330002,CD8 alpha
20370002,CEACAM-1/CD66a
20380002,BRCA1
20480002,gp130/CD130
20490002,Lactoferrin
20500002,CD46
20520002,CCL14/HCC-1/HCC-3
20530002,CCL2/MCP1
20560002,Nav1.7
20570002,Cytohesin 3
20580002,Pea3
20590002,Cytohesin 2
20610002,Cytohesin 4
20620002,FDCSP
20650002,Gasdermin like
20760002,STOML3
20770002,Opsin 3
20780002,hCG_1795560
20790002,GINS4
20800002,TBC1D3
20900002,USH1C
20920002,USH1C
20950002,Protocadherin-15
20980002,Acetyl-CoA Carboxylase alpha/ACACA
21050002,ROPN1
21070002,AP3M2
21100002,FCP1
21130002,Patched 1/PTCH
21200002,VAP-B
21250002,Ctip1
21280002,DDX52
21310002,FANCE
21320002,SPFH2
21340002,PALB2
21350002,TPT1/TCTP
21360002,MAML2
21370002,Myosin heavy chain 11
21390002,RBM15
21400002,DDHD2
21410002,FNTA
21420002,IKK beta
21440002,LOC387761
21450002,FADD
21490002,G protein alpha
21520002,LIM1
21530002,LSM1
21540002,Syntaxin 16
21550002,MALT1
21560002,HNF-3 alpha/FoxA1
21580002,N-PAC
21620002,MYST3
21630002,NEU3
21650002,MEL-18
21660002,PCK1
21670002,PGAP3
21720002,Liprin alpha 1
21730002,PROSC
21740002,RAB22A
21760002,B-Raf
21820002,FGF R2
21850002,TGF-beta RII
21890002,DCLK3
21900002,Cortactin
21920002,SOCS-7/Nck/NAP4
21960002,FIP1/RCP
21980002,Proteasome 19S S3
21990002,SLMO2
22000002,NPM1
22010002,PIM1
22030002,MSH6
22050002,TACC1
22070002,BRIP1/FANCJ
22090002,Chk2
22100002,Rad50
22110002,beta 2-Microglobulin
22140002,Akt1
22150002,Amphiregulin
22160002,Bax
22170002,Caveolin-1
22180002,Cyclin E1
22200002,N-Cadherin
22220002,TBC1D8
22230002,ZEB1
22240002,Jarid1D
22250002,Jarid1A
22260002,Lysine (K)-specific Demethylase 5B/KDM5B/JARID1B
22270002,SMCX
22280002,PTP1B/PTPN1
22290002,ATP6AP1
22300002,BTG1
22310002,CC2D1A
22330002,ELOVL5
22340002,Leukotriene A4 Hydrolase/LTA4H
22380002,Caldesmon/CALD1
22390002,Chitobiase/CTBS
22420002,Lipin 2
22430002,myosin X
22440002,Lysine Hydroxylase 2/PLOD2
22460002,KRT23
22470002,Desmocollin-2
22480002,DEK
22500002,TfR (Transferrin R)
22510002,PMS2
22550002,SDF4
22560002,SETD5
22580002,Cathepsin D
22590002,ErbB3/Her3
22620002,IGFBP-5
22630002,FANCI
22650002,MMP-1
22680002,MMP-17
22690002,MMP7/2
22700002,MMP-9
22710002,NF2/Merlin
22720002,tropomyosin-3
22730002,Notch-1
22750002,Moesin
22780002,p21/CIP1/CDKN1A
22820002,Desmoplakin
22830002,Dishevelled-3
22870002,Methionyl tRNA synthetase
22890002,Pax5/BSAP
22950002,Wnt-2
22990002,Wnt-4
23010002,Wnt-5b
23030002,Wnt-7a
23050002,Wnt-8a
23080002,Wnt-9b
23090002,Wnt-10a
23190002,Von Hippel Lindau
23200002,WISP-1/CCN4
23210002,Ikaros/IKZF1
23220002,Aiolos/IKZF3
23240002,COX-2
23250002,Serpin B5/Maspin
23260002,PCNA
23270002,ABL2
23280002,APC
23300002,Carbonic Anhydrase IX/CA9
23310002,Cyclin D2
23320002,CHD5
23330002,Haptoglobin
23340002,IFN-alpha D
23350002,IFN-gamma
23360002,IL-1ra/IL-1F3/IL1RN
23370002,CTP synthase
23400002,Cathepsin V
23420002,MDM2/HDM2
23430002,B-Myb
23440002,NM23-H1
23450002,NRAS
23460002,CDC25A
23480002,p57 Kip2
23520002,Ymer
23540002,Decorin
23560002,KMT6/EZH2
23580002,ID3
23600002,IL-1 beta/IL-1F2
23640002,IL-24
23650002,IL-6
23660002,FTO
23730002,BubR1
23740002,NOV/CCN3
23750002,IMP2/IGF2BP2
23770002,VEGF R3/Flt-4
23780002,c-Fos
23800002,GSTM3
23840002,IGF-I R
23850002,IGFBP-3
23870002,Integrin beta 1/CD29
23890002,c-jun
23910002,NDC80
23930002,MAP3K8/Tpl2/COT
23950002,c-Myb
23960002,n-Myc
24250002,PCTAIRE1
24260002,PDGF-B
24270002,PDPK1
24280002,CD31/PECAM-1
24300002,COX-1
24310002,RAB27B
24320002,RAB6B
24340002,SACS
24350002,14-3-3 sigma/Stratifin
24420002,Thrombospondin-2
24430002,AAMP
24450002,MBL
24460002,Ficolin-2
24480002,MSP/MST1
24570002,PSMA/FOLH1/NAALADase I
24590002,IFN-beta
24630002,IGFBP-2
24640002,ING1
24650002,Integrin alpha 6/CD49f
24660002,Integrin alpha V/CD51
24680002,JunD
24710002,KISS1
24720002,Neprilysin/CD10
24730002,MMP-3
24760002,Metallothionein-3
24770002,A-Myb
24780002,LSP1
24790002,NAT1
24800002,NCK1
24830002,Axin-2
24840002,Glypican 3
24860002,Ext2
24880002,Fumarase
24920002,TSC1
24950002,Neurofibromin 1
24960002,BMPR-IA/ALK-3
25040002,Akt2
25070002,Notch-3
25150002,CUL4B
25160002,Cullin 5
25170002,Cullin-7
25180002,PRCC
25210002,HOXA9
25220002,HOXA11
25280002,TLX3
25290002,FANCC
25300002,KMT2A/MLL
25310002,MYCL1/L-Myc
25320002,FANCD2
25340002,FANCF
25350002,FANCG
25420002,NAD Synthetase
25440002,alpha-Fetoprotein/AFP
25450002,CA125/MUC16
25460002,Nbs1
25470002,RECQL4
25480002,WRN
25490002,MLH1
25500002,XPA
25510002,XPC
25540002,XPG
25580002,FoxO1/FKHR
25590002,FOXO3
25610002,SCL/Tal1
25620002,Transcription factor E3
25640002,Fes
25650002,FGF R3
25690002,Jak2
25720002,EWSR1
25730002,PDGF R beta
25800002,EVI-1
25810002,HMGA2
25850002,XPD
25860002,FoxP3
25870002,IA-2/PTPRN
25900002,Collagen VIII alpha 1
25910002,WNK2
25920002,CD96
25940002,EphB4
25950002,Annexin A1
25960002,Annexin A7
25970002,ASPM
25980002,MCPH1
25990002,p130Cas/BCAR1
26000002,BCAR3
26010002,BCAS2
26020002,EMMPRIN/CD147
26090002,CD59
26100002,CD9
26120002,CXCL10/IP-10/CRG-2
26130002,CXCR3
26140002,Cyr61/CCN1
26150002,CDNF
26160002,FIG4
26170002,ZBP1/DLM-1/DAI
26190002,AMBRA1
26200002,Angiopoietin-like Protein 4/ANGPTL4
26220002,B7-H3/CD276
26240002,PlGF
26250002,ER beta/NR3A2
26260002,ER81
26270002,FABP3/H-FABP
26280002,FABP5/E-FABP
26300002,FoxM1
26320002,Granulin
26330002,Kallikrein 13
26340002,Kallikrein 8/Neuropsin
26350002,Laminin beta 1
26410002,Prolactin R
26420002,Thymosin alpha 1
26430002,SELENBP1
26450002,Thymosin beta 10
26460002,TRAIL R1/TNFRSF10A
26470002,TRAIL R2/TNFRSF10B
26510002,CD27 Ligand/TNFSF7/CD70
26520002,KIF16B
26540002,BAMBI/NMA
26570002,CLNS1A
26590002,EDNRA/Endothelin R Type A
26600002,EDNRB/Endothelin R Type B
26610002,EGF
26620002,EphA2
26630002,DEPDC1A
26640002,FAM49A
26650002,HJURP
26660002,DLEU1
26670002,SAP102
26700002,Fgr
26710002,FRA-1/FOSL1
26730002,DACH1
26740002,CXADR
26790002,Lyn
26800002,Mas
26820002,Melanotransferrin/CD228/MFI2
26840002,Prohibitin
26860002,SERPINB4
26870002,Sonic Hedgehog/Shh
26880002,PIG3
26890002,p73
26910002,Dtk/TYRO3
26920002,Yes
26930002,SOCS-1
26940002,SOD1/Cu-Zn SOD
26950002,HAI-2/SPINT2
26970002,STAT1
26980002,STAT5b
27000002,TCF7L2
27010002,AP-2 gamma
27020002,DP1
27030002,TGF-beta RIII
27040002,Tie-1
27050002,TLE1
27080002,ULBP-2
27090002,USP7
27100002,NAD Synthetase
27110002,NCKIPSD
27120002,ADAM9
27130002,BRF2
27150002,cleavage stimulation factor
27160002,JAZF1
27180002,RelA/NFkB p65
27210002,VAV3
27220002,VEGF-B
27240002,Ezrin
27250002,WIPF1/WIP
27260002,WISP2
27270002,XRCC1
27280002,XRCC3
27290002,XRCC4
27300002,Ku80/XRCC5
27310002,Ku70/XRCC6
27320002,RASGRF1
27340002,Retinol Binding Protein RBP
27500002,Ribophorin II
27510002,RNF39
27540002,S100A2
27550002,SKI
27570002,SLC20A1
27580002,CAT1
27600002,Lipocalin-2/NGAL
27610002,COUP-TF I/NR2F1
27640002,Usher Syndrome 2A
27660002,PTHLH/PTHrP
27700002,MYH
27710002,Cullin 1
27730002,Rad51
27800002,ACADS
27820002,Adenylosuccinate Lyase
27840002,Adenylate Kinase 1
27850002,AKAP1
27860002,12-Lipoxygenase
27880002,ANKRD11
27890002,Aminopeptidase N/CD13
27900002,ATF4
27920002,Raf-1
28010002,BTN3A2
28020002,Caspase-8
28060002,CD44
28070002,CD44
28090002,EVI-1
28100002,EVI-1
28130002,TOR/mTOR
28150002,gamma-glutamyl hydrolase
28170002,GNB2
28220002,GRP78/HSPA5
28240002,HSP90 beta
28250002,TIP30
28280002,CBLB
28360002,MCM4
28370002,MCM6
28400002,N-Acetylglucosaminyltransferase V/MGAT5
28430002,eNOS
28450002,Optineurin
28470002,PALM2
28480002,DAP Kinase 1
28490002,Dfna5 deafness
28510002,E2F-1
28550002,Ago2/eIF2C2
28560002,EIF4EBP3
28670002,LIM kinase 2
28690002,CEBP gamma
28730002,Cystatin E/M/CST6
28750002,CYB561
28760002,CYP1B1
28790002,MAPRE1
28830002,PLAGL1
28860002,Phospholipid Scramblase 1/PLSCR1
28900002,BOB1
28910002,PPAR delta/NR1C2
28920002,PPAR gamma/NR1C3
28930002,PPM1D
28950002,Peroxiredoxin 2
28960002,Peroxiredoxin 4
28970002,Cyclin A1
28980002,Cyclin A2
28990002,Cyclin B1
29000002,Cyclin B2
29010002,Cyclin E2
29020002,GPR125
29040002,RelA/NFkB p65
29060002,Prion protein
29080002,CDC25C
29090002,CDK2AP1
29240002,p18INK4c/CDKN2C
29250002,Protein Kinase A regulatory subunit I alpha
29260002,PKC epsilon
29270002,PKC zeta
29280002,PSMD7
29290002,Nanog
29310002,Olig2
29330002,CD90/Thy1
29340002,MEIS1
